mol,apol,ast_violation,ast_violation_ext,a_acc,a_aro,a_count,a_don,a_donacc,a_heavy,a_hyd,a_IC,a_ICM,a_nB,a_nBr,a_nC,a_nCl,a_nF,a_nH,a_nI,a_nN,a_nO,a_nS,balabanJ,BCUT_PEOE_0,BCUT_PEOE_1,BCUT_PEOE_2,BCUT_PEOE_3,BCUT_SLOGP_0,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_0,BCUT_SMR_1,BCUT_SMR_2,BCUT_SMR_3,bpol,b_1rotN,b_1rotR,b_ar,b_count,b_double,b_heavy,b_max1len,b_rotN,b_rotR,b_single,b_triple,chi0,chi0v,chi0v_C,chi0_C,chi1,chi1v,chi1v_C,chi1_C,density,diameter,GCUT_PEOE_0,GCUT_PEOE_1,GCUT_PEOE_2,GCUT_PEOE_3,GCUT_SLOGP_0,GCUT_SLOGP_1,GCUT_SLOGP_2,GCUT_SLOGP_3,GCUT_SMR_0,GCUT_SMR_1,GCUT_SMR_2,GCUT_SMR_3,Kier1,Kier2,Kier3,KierA1,KierA2,KierA3,KierFlex,lip_acc,lip_don,lip_druglike,lip_violation,logP(o/w),logS,mr,mutagenic,nmol,opr_brigid,opr_leadlike,opr_nring,opr_nrot,opr_violation,PC+,PC-,PEOE_PC+,PEOE_PC-,PEOE_RPC+,PEOE_RPC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+5,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-2,PEOE_VSA-3,PEOE_VSA-4,PEOE_VSA-5,PEOE_VSA-6,PEOE_VSA_FHYD,PEOE_VSA_FNEG,PEOE_VSA_FPNEG,PEOE_VSA_FPOL,PEOE_VSA_FPOS,PEOE_VSA_FPPOS,PEOE_VSA_HYD,PEOE_VSA_NEG,PEOE_VSA_PNEG,PEOE_VSA_POL,PEOE_VSA_POS,PEOE_VSA_PPOS,petitjean,petitjeanSC,Q_PC+,Q_PC-,Q_RPC+,Q_RPC-,Q_VSA_FHYD,Q_VSA_FNEG,Q_VSA_FPNEG,Q_VSA_FPOL,Q_VSA_FPOS,Q_VSA_FPPOS,Q_VSA_HYD,Q_VSA_NEG,Q_VSA_PNEG,Q_VSA_POL,Q_VSA_POS,Q_VSA_PPOS,radius,reactive,rings,RPC+,RPC-,rsynth,SlogP,SlogP_VSA0,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SMR,SMR_VSA0,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,TPSA,VAdjEq,VAdjMa,VDistEq,VDistMa,vdw_area,vdw_vol,vsa_acc,vsa_don,vsa_hyd,vsa_other,vsa_pol,Weight,weinerPath,weinerPol,zagreb,result_1
Fc1cc(ccc1)-c1[nH]c2c(n1)cccc2C,34.731724,1,1,2,15,28,2,4,17,14,41.249222,1.4731865,0,0,14,0,1,11,0,2,0,0,1.634269,-2.2528551,-0.62478846,0.68112403,2.2616105,-2.1081944,-0.51469183,0.85395712,2.4128242,-1.9645579,-0.45953974,0.85429859,2.587163,15.208277,1,0.052631579,16,30,0,19,2,1,0.052631579,14,0,11.828063,9.3666296,8.0414515,9.4138489,8.2371836,5.45158,4.3153839,6.0268402,0.73533726,8,-0.82887518,-0.43759611,0.072785564,2.3572907,-0.77764583,-0.25573531,0.20354317,2.5034974,-0.47850239,-0.20115328,0.19327663,2.6721799,12.055402,4.9382715,2.4197531,7.9934163,3.1810315,1.5228888,1.495724,2,1,1,0,3.7679999,-4.9456902,6.6207442,0,1,16,1,3,1,0,2.1010001,-2.1010001,1.1354889,-1.1354889,0.1474203,0.29738286,15.004698,43.256805,20.211409,8.6190128,0,0,0,57.720928,49.019615,0,0,17.591211,0,0.13689101,0.9162032,0.58833575,0.083796822,0.083796822,0.41166425,0,193.83247,124.46865,17.728104,17.728104,87.091927,0,0.5,1,2.1010001,-2.1010001,0.12851024,0.26891956,0.90073228,0.53073984,0.02686028,0.099267744,0.46926013,0.072407462,190.55943,112.28363,5.6825762,21.001141,99.276939,15.318564,4,0,3,0.12851024,0.26891956,1,3.6774199,0,16.78553,25.906548,0,3.185575,0,0,133.30406,0,48.286129,6.6224699,0,31.745644,25.906548,3.185575,9.8017693,123.50229,0,33.326015,28.68,0.56150466,5.2479277,2.8796473,7.8718853,211.56058,307.68738,0,0,178.81357,11.190562,11.365152,226.254,505,25,92,1
Clc1ccccc1-c1[nH]c2c(n1)cccc2C,36.354725,1,1,2,15,28,2,4,17,14,41.249222,1.4731865,0,0,14,1,0,11,0,2,0,0,1.6690019,-2.2528896,-0.62487298,0.68449479,2.2615306,-2.1074667,-0.4595575,0.85191029,2.422616,-1.9644496,-0.43188795,0.93793422,2.5907807,14.425277,1,0.052631579,16,30,0,19,2,1,0.052631579,14,0,11.828063,10.122559,8.0414515,9.4138489,8.2540197,5.8355274,4.3213673,6.0436769,0.75727987,8,-0.82874924,-0.40397805,0.065410286,2.3556285,-0.77753907,-0.22537591,0.19563068,2.5202954,-0.47848594,-0.18392259,0.30235934,2.6809788,12.055402,4.9382715,2.2907231,8.8925762,3.5669789,1.6270219,1.8658606,2,1,1,0,4.1680002,-5.3850002,7.0556097,0,1,16,1,3,1,0,2.0880001,-2.0880001,1.0749533,-1.0749533,0.15572271,0.31409639,15.004698,47.77655,11.190562,8.6190128,0,0,0,57.720928,78.601563,0,0,5.6825762,0,0.13689101,0.97410494,0.6324932,0.025895052,0.025895052,0.3675068,0,218.91331,142.14195,5.8194671,5.8194671,82.590828,0,0.5,1,2.0880001,-2.0880001,0.12931034,0.27059388,0.90655059,0.57827318,0.025285924,0.093449384,0.42172682,0.068163462,203.73164,129.95694,5.6825762,21.001141,94.775841,15.318564,4,0,3,0.12931034,0.27059388,1,4.19172,0,16.78553,16.78553,0,3.185575,0,3.5006065,133.30406,0,72.474655,7.1276698,0,16.78553,16.78553,6.6861815,9.8017693,123.50229,0,72.474655,28.68,0.56150466,5.2479277,2.8355684,7.8804264,224.73279,320.50107,0,0,191.98579,11.190562,11.365152,242.709,495,26,92,1
s1cccc1-c1[nH]c2c(n1)cccc2C,32.887932,1,1,2,14,25,2,4,15,12,37.857574,1.514303,0,0,12,0,0,10,0,2,0,1,1.6636249,-2.251529,-0.59478587,0.67138797,2.2543552,-2.1061623,-0.48738694,0.77083218,2.4180567,-1.9639928,-0.43890256,0.936692,2.588402,15.19207,1,0.05882353,15,27,0,17,2,1,0.05882353,12,0,10.250712,9.1360598,6.9641018,8.1293917,7.3433366,5.7160516,3.4493587,4.8020949,0.75462538,7,-0.8307941,-0.41231129,0.081185065,2.2933376,-0.77738857,-0.25243551,0.17783409,2.4636774,-0.47846562,-0.19625667,0.31090149,2.6294949,10.173011,4.1076388,1.8512397,7.6989145,3.0408986,1.3458602,1.5607746,2,1,1,0,3.108,-4.2732601,6.4226198,0,1,15,1,3,1,0,1.8,-1.801,1.0607842,-1.0607842,0.15777655,0.31901437,17.061544,34.726032,11.190562,28.379631,0,0,0,37.395721,49.019615,14.230966,0,5.6825762,0,0.13689101,0.97058254,0.53818554,0.029417465,0.029417465,0.46181446,0,192.00407,106.46577,5.8194671,5.8194671,91.357773,0,0.42857143,0.75,1.8,-1.801,0.15000001,0.31371459,0.893839,0.55532706,0.028725479,0.10616098,0.44467291,0.077435493,176.8224,109.85677,5.6825762,21.001141,87.966774,15.318564,4,0,3,0.15000001,0.31371459,1,3.5998199,0,16.78553,16.78553,0,3.185575,0,0,112.00653,0,64.603706,6.4143701,0,16.78553,16.78553,3.185575,7.9745955,104.03193,0,64.603706,28.68,0.61261392,5.0874629,2.6929674,7.5088954,197.82355,283.97137,0,0,165.78835,11.190562,11.365152,214.29199,350,20,82,1
Fc1ccccc1-c1[nH]c2c(n1)cccc2C,34.731724,1,1,2,15,28,2,4,17,14,41.249222,1.4731865,0,0,14,0,1,11,0,2,0,0,1.6690019,-2.2525513,-0.6242646,0.67653072,2.2642975,-2.1083848,-0.50896722,0.84259492,2.4119051,-1.9645617,-0.45958024,0.85429859,2.5870605,15.208277,1,0.052631579,16,30,0,19,2,1,0.052631579,14,0,11.828063,9.3666296,8.0414515,9.4138489,8.2540197,5.4575629,4.3213673,6.0436769,0.73533726,8,-0.82850528,-0.43195224,0.0642277,2.3597021,-0.77757603,-0.25397143,0.19348665,2.5029964,-0.47850263,-0.20112637,0.19327517,2.6720858,12.055402,4.9382715,2.2907231,7.9934163,3.1810315,1.4416828,1.495724,2,1,1,0,3.7290001,-4.9456902,6.6244826,0,1,16,1,3,1,0,2.1010001,-2.1010001,1.1770699,-1.1770699,0.14221343,0.28681609,12.796158,45.465343,20.211409,8.6190128,0,0,0,57.720928,49.019615,0,0,17.591211,0,0.13689101,0.9162032,0.58833575,0.083796822,0.083796822,0.41166425,0,193.83247,124.46865,17.728104,17.728104,87.091927,0,0.5,1,2.1010001,-2.1010001,0.12851024,0.26891956,0.90073228,0.53073984,0.02686028,0.099267744,0.46926013,0.072407462,190.55943,112.28363,5.6825762,21.001141,99.276939,15.318564,4,0,3,0.12851024,0.26891956,1,3.6774199,0,16.78553,25.906548,0,3.185575,0,0,133.30406,0,48.286129,6.6224699,0,31.745644,25.906548,3.185575,9.8017693,123.50229,0,33.326015,28.68,0.56150466,5.2479277,2.8355684,7.8804264,211.56058,307.68738,0,0,178.81357,11.190562,11.365152,226.254,495,26,92,1
Fc1ccc(cc1)-c1[nH]c2c(n1)cccc2C,34.731724,1,1,2,15,28,2,4,17,14,41.249222,1.4731865,0,0,14,0,1,11,0,2,0,0,1.604087,-2.2529418,-0.64058864,0.70510375,2.2609446,-2.1081467,-0.52747166,0.80591482,2.4130578,-1.9645569,-0.45944583,0.85431087,2.5871878,15.208277,1,0.052631579,16,30,0,19,2,1,0.052631579,14,0,11.828063,9.3666296,8.0414515,9.4138489,8.2371836,5.45158,4.3153839,6.0268402,0.73533726,9,-0.82887274,-0.42533237,0.083712675,2.3565466,-0.77761453,-0.26386139,0.18621533,2.5036347,-0.47850206,-0.20113666,0.19305076,2.6722176,12.055402,4.9382715,2.4197531,7.9934163,3.1810315,1.5228888,1.495724,2,1,1,0,3.7309999,-4.9456902,6.6207442,0,1,16,1,3,1,0,2.1010001,-2.1010001,1.1323298,-1.1323298,0.14783157,0.29821333,15.004698,43.256805,20.211409,8.6190128,0,0,0,82.230736,24.509808,0,0,17.591211,0,0.13689101,0.9162032,0.58833575,0.083796822,0.083796822,0.41166425,0,193.83247,124.46865,17.728104,17.728104,87.091927,0,0.44444445,0.80000001,2.1010001,-2.1010001,0.12851024,0.26891956,0.90073228,0.53073984,0.02686028,0.099267744,0.46926013,0.072407462,190.55943,112.28363,5.6825762,21.001141,99.276939,15.318564,5,0,3,0.12851024,0.26891956,1,3.6774199,0,16.78553,25.906548,0,3.185575,0,0,133.30406,0,48.286129,6.6224699,0,31.745644,25.906548,3.185575,9.8017693,123.50229,0,33.326015,28.68,0.56150466,5.2479277,2.9544528,7.8596001,211.56058,307.68738,0,0,178.81357,11.190562,11.365152,226.254,515,25,92,0
Clc1ccc(cc1)-c1[nH]c2c(n1)cccc2C,36.354725,1,1,2,15,28,2,4,17,14,41.249222,1.4731865,0,0,14,1,0,11,0,2,0,0,1.604087,-2.2531333,-0.63234848,0.70196402,2.2599225,-2.1077259,-0.52473921,0.80591482,2.4179282,-1.9645052,-0.44880292,0.85431087,2.5887113,14.425277,1,0.052631579,16,30,0,19,2,1,0.052631579,14,0,11.828063,10.122559,8.0414515,9.4138489,8.2371836,5.8295445,4.3153839,6.0268402,0.75727987,9,-0.82891691,-0.38379911,0.081893295,2.3540065,-0.7775743,-0.26386139,0.19124785,2.5145826,-0.47849691,-0.20029953,0.30941498,2.6777017,12.055402,4.9382715,2.4197531,8.8925762,3.5669789,1.7186675,1.8658606,2,1,1,0,4.1700001,-5.3850002,7.0518713,0,1,16,1,3,1,0,2.0880001,-2.0880001,1.0469232,-1.0469232,0.1598915,0.32254121,19.524445,43.256805,11.190562,8.6190128,0,0,0,82.230736,54.091755,0,0,5.6825762,0,0.13689101,0.97410494,0.6324932,0.025895052,0.025895052,0.3675068,0,218.91331,142.14195,5.8194671,5.8194671,82.590828,0,0.44444445,0.80000001,2.0880001,-2.0880001,0.12931034,0.27059388,0.90655059,0.57827318,0.025285924,0.093449384,0.42172682,0.068163462,203.73164,129.95694,5.6825762,21.001141,94.775841,15.318564,5,0,3,0.12931034,0.27059388,1,4.19172,0,16.78553,16.78553,0,3.185575,0,3.5006065,133.30406,0,72.474655,7.1276698,0,16.78553,16.78553,6.6861815,9.8017693,123.50229,0,72.474655,28.68,0.56150466,5.2479277,2.9544528,7.8596001,224.73279,320.50107,0,0,191.98579,11.190562,11.365152,242.709,515,25,92,0
FC(F)(F)c1ccc(cc1COc1cc(ccc1)C=1Oc2c(cccc2)C(=O)C=1)C(F)(F)F,57.323101,2,3,2,18,47,0,2,33,29,77.458946,1.6480627,0,0,24,0,6,14,0,0,3,0,1.3352591,-2.3547058,-0.61215138,0.64175117,2.444778,-2.2389977,-0.52125734,0.74220294,2.5541472,-2.1043537,-0.44111142,0.79978019,2.6593964,27.312899,4,0.11111111,18,50,2,36,2,6,0.16666667,30,0,23.802753,16.627842,13.13531,15.38854,15.520006,9.5567198,7.3176551,10.217912,0.88122392,15,-0.77943796,-0.41389972,0.063412733,2.564847,-0.7834087,-0.29339403,0.26019999,2.7140765,-0.4797411,-0.20591581,0.17428602,2.8397186,26.074074,10.545954,6.4156828,18.968189,7.5899653,4.5813751,4.3626633,3,0,1,1,7.0715199,-8.4798698,10.833624,0,1,23,0,4,4,2,5.3470001,-5.3499999,2.4461222,-2.4461222,0.1707779,0.13902688,14.463444,106.66788,0,8.458519,0,0,18.091003,87.992867,49.019615,0,71.451813,0,13.566921,5.0075121,0.9021523,0.60588968,0.049568892,0.09784767,0.39411029,0.048278783,338.05414,227.03873,18.574432,36.665436,147.68085,18.091003,0.46666667,0.875,5.3470001,-5.3499999,0.21769217,0.10654206,0.65568036,0.65038162,0.23356797,0.34431964,0.34961841,0.11075167,245.69626,243.71071,87.522491,129.0233,131.00887,41.500816,8,0,4,0.21769217,0.10654206,0.54545456,7.8088002,21.999775,5.6876111,0,0,39.790092,0,15.519032,216.96164,0,121.1738,10.70365,23.862217,111.76045,15.519032,26.41473,5.2434282,232.64447,5.6876111,0,35.529999,0.3512581,6.1699252,3.7517998,9.793726,374.71957,526.95007,16.070677,0,337.7215,10.962276,16.070677,464.36099,3398,55,180,1
Fc1c(cccc1F)COc1cc(ccc1)C=1Oc2c(cccc2)C(=O)C=1,51.575104,2,3,2,18,41,0,2,27,23,61.494282,1.4998605,0,0,22,0,2,14,0,0,3,0,1.2803499,-2.3286443,-0.64715701,0.66396356,2.3301477,-2.2209868,-0.53081787,0.77226204,2.4635334,-2.048511,-0.46699023,0.84001249,2.6333246,22.500898,4,0.13333334,18,44,2,30,2,4,0.13333334,24,0,18.802753,14.115984,12.13531,14.38854,13.114194,8.3067741,6.823638,9.6573982,0.78266209,14,-0.77808273,-0.46139386,0.06572447,2.4739618,-0.78340811,-0.29950216,0.16271313,2.6174932,-0.47792584,-0.21523312,0.18932764,2.768152,20.280001,9.212018,4.7755103,14.074671,6.2957034,3.2264638,3.2818501,3,0,1,1,5.4689999,-6.9567299,9.8696861,0,1,23,1,4,4,1,3.3989999,-3.402,1.8385197,-1.8385197,0.10390206,0.18492958,16.671984,102.25079,0,26.50021,0,0,0,61.274521,73.529427,0,0,23.817272,13.566921,5.0075121,0.8686012,0.54924184,0.13139881,0.13139881,0.45075819,0,280.22693,177.19565,42.391705,42.391705,145.42299,0,0.5,1,3.3989999,-3.402,0.13798176,0.16754851,0.87762487,0.59407324,0.049813233,0.12237511,0.40592679,0.072561875,283.13815,191.65909,16.070677,39.480488,130.95955,23.409813,7,0,4,0.13798176,0.16754851,1,5.4264002,21.999775,5.6876111,18.242037,0,33.418941,0,0,216.96164,0,61.33334,9.6714497,23.862217,51.920002,18.242037,20.043581,5.2434282,232.64447,5.6876111,0,35.529999,0.41024774,5.9068904,3.6124158,9.1948996,322.61862,465.52271,16.070677,0,285.62054,10.962276,16.070677,364.34698,2010,44,144,1
FC(F)(F)c1ccc(cc1COc1cc(ccc1)C=1Oc2c(cccc2)C(=O)C=1)C(F)(F)F,57.323101,2,3,2,18,47,0,2,33,29,77.458946,1.6480627,0,0,24,0,6,14,0,0,3,0,1.3352591,-2.3547058,-0.61215138,0.64175117,2.444778,-2.2389977,-0.52125734,0.74220294,2.5541472,-2.1043537,-0.44111142,0.79978019,2.6593964,27.312899,4,0.11111111,18,50,2,36,2,6,0.16666667,30,0,23.802753,16.627842,13.13531,15.38854,15.520006,9.5567198,7.3176551,10.217912,0.88122392,15,-0.77943796,-0.41389972,0.063412733,2.564847,-0.7834087,-0.29339403,0.26019999,2.7140765,-0.4797411,-0.20591581,0.17428602,2.8397186,26.074074,10.545954,6.4156828,18.968189,7.5899653,4.5813751,4.3626633,3,0,1,1,7.0715199,-8.4798698,10.833624,0,1,23,0,4,4,2,5.3470001,-5.3499999,2.4461222,-2.4461222,0.1707779,0.13902688,14.463444,106.66788,0,8.458519,0,0,18.091003,87.992867,49.019615,0,71.451813,0,13.566921,5.0075121,0.9021523,0.60588968,0.049568892,0.09784767,0.39411029,0.048278783,338.05414,227.03873,18.574432,36.665436,147.68085,18.091003,0.46666667,0.875,5.3470001,-5.3499999,0.21769217,0.10654206,0.65568036,0.65038162,0.23356797,0.34431964,0.34961841,0.11075167,245.69626,243.71071,87.522491,129.0233,131.00887,41.500816,8,0,4,0.21769217,0.10654206,0.54545456,7.8088002,21.999775,5.6876111,0,0,39.790092,0,15.519032,216.96164,0,121.1738,10.70365,23.862217,111.76045,15.519032,26.41473,5.2434282,232.64447,5.6876111,0,35.529999,0.3512581,6.1699252,3.7517998,9.793726,374.71957,526.95007,16.070677,0,337.7215,10.962276,16.070677,464.36099,3398,55,180,1
S(C(F)(F)F)c1cc(ccc1)COc1cc(ccc1)C=1Oc2c(cccc2)C(=O)C=1,57.458897,2,3,2,18,45,0,2,30,26,74.978333,1.6661851,0,0,23,0,3,15,0,0,3,1,1.2352909,-2.3441856,-0.63175303,0.66531575,2.343303,-2.2177496,-0.51164615,0.76742154,2.4883852,-2.0521512,-0.45959038,0.83384371,2.6387427,27.077105,5,0.15151516,18,48,2,33,3,6,0.18181819,28,0,21.139618,16.296043,12.71266,15.018297,14.371124,9.7978516,6.9009881,9.8072281,0.83113307,16,-0.78006923,-0.41782975,0.06677971,2.4976976,-0.78340834,-0.27332643,0.26019999,2.6553137,-0.47792023,-0.20588671,0.18951908,2.7985492,23.168043,10.29244,6.5152354,17.582357,7.731554,4.8588152,4.5312982,3,0,1,1,7.23876,-8.5271196,11.089684,0,1,23,1,4,5,1,4.5209999,-4.5240002,2.0217705,-2.0217705,0.22141425,0.16821343,18.648045,106.51618,0,8.458519,0,0,11.021564,95.498581,73.529427,0,35.725906,0,13.566921,5.0075121,0.91957015,0.60691559,0.050477754,0.080429882,0.39308441,0.029952127,338.37665,223.32834,18.574432,29.595997,144.6443,11.021564,0.5,1,4.5209999,-4.5240002,0.2764875,0.1259947,0.71196616,0.64021945,0.19446337,0.28803384,0.35978055,0.093570478,261.98407,235.58325,71.557205,105.98858,132.3894,34.431377,8,0,4,0.2764875,0.1259947,1,6.7600999,21.999775,11.812286,0,0,33.418941,1.5507339,0,234.60483,0,108.51299,10.87115,23.862217,66.880119,7.6754088,20.043581,5.2434282,250.28766,5.6876111,32.21954,35.529999,0.37824166,6.044394,3.8129873,9.4915409,367.97266,515.47705,16.070677,0,330.26276,10.962276,16.070677,428.42999,2805,45,160,1
O1c2c(cccc2)C(=O)C=C1c1cc(OCc2ccc(cc2)C(C)(C)C)ccc1,64.169029,2,3,2,18,53,0,2,29,25,66.574364,1.2561201,0,0,26,0,0,24,0,0,3,0,1.2223929,-2.6321743,-0.60758466,0.64133054,2.5773191,-2.5361149,-0.51220578,0.74201512,2.6805012,-2.3695631,-0.44088373,0.79773313,2.8460603,31.026968,4,0.125,18,56,2,32,4,5,0.15625,36,0,20.43251,16.937405,15.71266,18.018297,13.897998,9.7561598,8.6509886,11.595902,0.69031614,16,-0.79324079,-0.37997851,0.063410856,2.611728,-0.78340894,-0.2722097,0.15209226,2.7551751,-0.52173519,-0.20537362,0.17420606,2.8964937,22.203125,9.6465025,5.6266351,16.057873,6.8895702,3.9814539,3.8148911,3,0,1,1,6.6659999,-8.3863497,11.542719,0,1,23,1,4,5,1,3.313,-3.316,1.770301,-1.770301,0.10790593,0.19210821,52.851917,106.51618,0,8.458519,0,0,0,53.436695,154.28226,0,0,0,13.566921,5.0075121,0.95287114,0.57417381,0.047128875,0.047128875,0.42582619,0,375.54556,226.2934,18.574432,18.574432,167.82661,0,0.5,1,3.313,-3.316,0.14156353,0.17189385,0.89982623,0.46256283,0.0407761,0.10017378,0.5374372,0.059397675,354.63953,182.30527,16.070677,39.480488,211.81474,23.409813,8,0,4,0.14156353,0.17189385,1,6.4457002,21.999775,5.6876111,0,0,36.604515,0,0,234.60483,0,131.39116,11.54985,23.862217,21.999775,0,23.229156,5.2434282,250.28766,5.6876111,99.978043,35.529999,0.38828552,6,3.8030558,9.3831301,394.12003,556.95496,16.070677,0,350.00397,10.962276,16.070677,384.47498,2578,46,156,0
O1c2c(cccc2)C(=O)C=C1c1cc(OCc2ccccc2)ccc1,51.794689,2,3,2,18,41,0,2,25,21,52.797249,1.2877377,0,0,22,0,0,16,0,0,3,0,1.2728596,-2.3421319,-0.64668596,0.670237,2.3180459,-2.2163608,-0.54613662,0.77192378,2.4671798,-2.0479746,-0.46699321,0.84001207,2.6334209,22.281313,4,0.14285715,18,44,2,28,2,4,0.14285715,24,0,17.062267,13.514755,12.29001,14.648053,12.292827,8.0954762,6.9903049,9.9907312,0.71502537,14,-0.78020233,-0.42836601,0.070230603,2.4666245,-0.78340816,-0.30525032,0.15945068,2.6187415,-0.47787744,-0.21550035,0.18902868,2.7684331,18.367348,8.792244,4.6464,12.549925,5.90347,3.0789964,2.9635243,3,0,1,1,5.1669998,-6.3667698,9.7590685,0,1,23,1,4,4,1,3.319,-3.322,1.6172308,-1.6172308,0.11811919,0.21029118,14.463444,110.78157,0,8.458519,0,0,0,51.228157,110.29414,0,0,0,13.566921,5.0075121,0.94080812,0.57392156,0.059191901,0.059191901,0.42607847,0,295.22583,180.09673,18.574432,18.574432,133.70354,0,0.5,1,3.319,-3.322,0.14130762,0.17158338,0.87418592,0.61297476,0.051213078,0.12581408,0.38702527,0.074601002,274.31976,192.35162,16.070677,39.480488,121.44862,23.409813,7,0,4,0.14130762,0.17158338,1,5.1482,21.999775,5.6876111,0,0,33.418941,0,0,252.24802,0,31.413115,9.6798496,23.862217,21.999775,0,20.043581,5.2434282,267.93085,5.6876111,0,35.529999,0.43513325,5.8073549,3.5540304,8.9685154,313.80026,459.23822,16.070677,0,275.37857,10.962276,16.070677,328.367,1634,38,132,0
O1c2c(cccc2)C(=O)C=C1c1cc(OCc2cc(ccc2)C)ccc1,54.888275,2,3,2,18,44,0,2,26,22,56.359528,1.2808983,0,0,23,0,0,18,0,0,3,0,1.2672349,-2.3643372,-0.62425947,0.65759701,2.3278704,-2.2291851,-0.52750719,0.75757426,2.4798331,-2.0711184,-0.4575083,0.81546319,2.6373711,24.467726,4,0.13793103,18,47,2,29,2,4,0.13793103,27,0,17.93251,14.437406,13.21266,15.518297,12.686673,8.5061598,7.4009881,10.384578,0.70791209,14,-0.78064501,-0.42007557,0.067906246,2.4968629,-0.78340852,-0.29955903,0.15615344,2.6486821,-0.48394766,-0.20972447,0.17960271,2.7964175,19.322235,9,4.8994083,13.415304,6.1494632,3.3094382,3.1729584,3,0,1,1,5.5019999,-6.8406901,10.206934,0,1,23,1,4,4,1,3.313,-3.316,1.6392643,-1.6392643,0.11653154,0.20746456,27.259602,106.51618,0,8.458519,0,0,0,69.97583,100.24777,0,0,0,13.566921,5.0075121,0.94388938,0.5703311,0.056110632,0.056110632,0.4296689,0,312.45792,188.79803,18.574432,18.574432,142.2343,0,0.5,1,3.313,-3.316,0.14156353,0.17189385,0.88073528,0.55071735,0.048547152,0.11926475,0.44928262,0.070717603,291.55185,182.30527,16.070677,39.480488,148.72708,23.409813,7,0,4,0.14156353,0.17189385,1,5.4566202,21.999775,5.6876111,0,0,36.604515,0,0,234.60483,0,64.739128,10.15355,23.862217,21.999775,0,23.229156,5.2434282,250.28766,5.6876111,33.326015,35.529999,0.42228913,5.8579812,3.5995297,9.081789,331.03235,483.66739,16.070677,0,291.18707,10.962276,16.070677,342.39398,1830,40,138,0
Clc1ccc(cc1)-c1nc(sc1)N\N=C\c1cc2c(cc1)cccc2,52.9151,2,3,2,21,39,1,3,25,20,61.63427,1.5803659,0,0,20,1,0,14,0,3,0,1,1.1302595,-2.2302957,-0.67043436,0.7231577,2.1920245,-2.1389973,-0.56192535,0.83498371,2.3969777,-1.8699588,-0.51864576,0.94397056,2.5596423,19.984898,4,0.14285715,22,42,1,28,1,4,0.14285715,19,0,17.062267,14.758619,11.005553,13.23384,12.27599,9.0295467,5.9641018,8.5656462,0.78000814,16,-0.78952438,-0.4029865,0.091229275,2.3511052,-0.91388315,-0.27437833,0.23032117,2.5326707,-0.39850673,-0.22011103,0.32270923,2.6985495,18.367348,8.792244,4.8379841,13.906923,6.5742006,3.5835896,3.6570761,3,1,1,1,8.5550003,-7.48563,10.550757,0,1,23,1,4,4,1,3.516,-3.516,1.4015262,-1.4015262,0.13590191,0.17577091,21.265661,75.316193,0,28.379631,0,0,0,45.598869,141.85214,0,3.8753545,15.103616,0,0,0.95442367,0.62291884,0.045576356,0.045576356,0.37708119,0,316.28784,206.42998,15.103616,15.103616,124.96149,0,0.5,1,3.516,-3.516,0.13139932,0.16069397,0.82645744,0.65589029,0.057270546,0.17354256,0.34410971,0.11627201,273.88095,217.35645,18.97897,57.510525,114.03503,38.531551,8,0,4,0.13139932,0.16069397,1,6.0626998,0,34.673759,17.214357,0,3.185575,16.663008,3.5006065,220.97929,0,70.927078,10.77247,0,33.448536,0,6.6861815,29.477226,209.89104,0,87.640686,37.279999,0.43513325,5.8073549,3.7447646,8.9340982,331.39148,466.49768,15.103616,9.4210396,261.07401,33.466129,24.524654,363.87201,1819,35,132,0
